"id","language_code","name","slug","master_id"
3,uk,Браслети,brasleti,3
4,en,Bracelets,bracelets,3
5,en,Keychains,keychains,4
6,uk,Брелоки,breloki,4
7,en,Brooches,brooches,5
8,uk,Броши,broshi,5
9,uk,Годинники,godinniki,6
10,uk,Зажим для галстуку,zazhim-dlya-galstuku,7
11,uk,Запонки,zaponki,8
12,uk,Значки,znachki,9
13,uk,Ікони,ikoni,10
14,uk,Каблучки,kabluchki,11
15,uk,Кольє,kolye,12
16,uk,Сертифікати,sertifikati,13
17,uk,Кулони,kuloni,14
18,en,Pendants,pendants,14
