"id","language_code","name","status","description_gemstone_second","collection","description_product","slug","gemstone_second_id","master_id"
1,uk,Золотий хрестик з діамантами (арт. П011771015),classic,"Діамант: 18Кр.-57- 0,16ct-4/6 А;",,,zolotij-hrestik-z-diamantami-art-p011771015,,1
2,uk,Золотий годинник кварцовий (арт. 260241жш),classic,,,,zolotij-godinnik-kvarcovij-art-260241zhsh,,2
